iter	MCC	Logloss
0	0	0.6215526247
1	0	0.5679591777
2	0	0.5223754845
3	0	0.4898583274
4	0	0.468004817
5	0	0.45088826
6	0	0.4388088648
7	0	0.426309577
8	0	0.4181000603
9	0	0.4120590236
10	0	0.4063379489
11	0	0.3980592863
12	0	0.3943696092
13	0	0.3910429188
14	0	0.3889784348
15	0	0.3867330662
16	0	0.3854495375
17	0	0.3843317921
18	0	0.3825956196
19	0.05596844757	0.3815050901
20	0	0.3809043466
21	0.05605699403	0.3803193258
22	0.05605699403	0.3796321877
23	0.05605699403	0.3773747405
24	0.05605699403	0.3766605965
25	0.05605699403	0.3759468159
26	0.05605699403	0.374713473
27	0.05605699403	0.3735294632
28	0.05605699403	0.3729421962
29	0.07811278806	0.372175629
30	0.07811278806	0.3718089701
31	0.07811278806	0.3711976129
32	0.07811278806	0.3704854646
33	0.08729594376	0.3697103569
34	0.07811278806	0.3692215771
35	0.07811278806	0.368016296
36	0.07811278806	0.3676954419
37	0.07811278806	0.3671565584
38	0.07811278806	0.3665829321
39	0.09567178736	0.3659818519
40	0.09567178736	0.364964115
41	0.09567178736	0.3646643131
42	0.09567178736	0.364195306
43	0.09567178736	0.3638388811
44	0.1034161472	0.3632699028
45	0.09567178736	0.3628713869
46	0.1034161472	0.3622891609
47	0.1034161472	0.3620752239
48	0.1174613786	0.3617545749
49	0.1239150855	0.3613287564
50	0.1106501994	0.3609763059
51	0.1106501994	0.3605188113
52	0.1035095636	0.3603225618
53	0.1035095636	0.3593691367
54	0.1035095636	0.3585773431
55	0.1035095636	0.3581607995
56	0.1314131936	0.3577958185
57	0.1252810588	0.3571957119
58	0.1188363962	0.3565659829
59	0.1188363962	0.3560265216
60	0.1188363962	0.3557556184
61	0.1188363962	0.355457304
62	0.1252810588	0.3552120815
63	0.14831271	0.3547778707
64	0.14831271	0.3543745536
65	0.14831271	0.3540520408
66	0.14831271	0.3535205652
67	0.1535384862	0.3529603844
68	0.1585947853	0.3526351644
69	0.1634973339	0.3516248714
70	0.1634973339	0.3511832795
71	0.1634973339	0.3506745355
72	0.1682595738	0.3504049636
73	0.1682595738	0.3498637685
74	0.1682595738	0.3495643432
75	0.1774080042	0.3491894466
76	0.1818131212	0.3487068341
77	0.1861162501	0.3482875858
78	0.1818131212	0.3479220491
79	0.1849818328	0.3475471519
80	0.1849818328	0.3469626383
81	0.1849818328	0.3461538227
82	0.1849818328	0.345031045
83	0.1849818328	0.3444278712
84	0.1849818328	0.3440408248
85	0.1849818328	0.343269563
86	0.1849818328	0.3427568739
87	0.1849818328	0.3423420087
88	0.1849818328	0.342036445
89	0.1892075783	0.3415919169
90	0.1892075783	0.3410290596
91	0.1892075783	0.3406050255
92	0.1933438625	0.3402724945
93	0.1933438625	0.3398377878
94	0.1933438625	0.3396610778
95	0.1973962338	0.338843677
96	0.1933438625	0.3384675977
97	0.1973962338	0.3381721623
98	0.1973962338	0.3378851053
99	0.1973962338	0.3369114628
100	0.2052687761	0.3364254519
101	0.2052687761	0.3360652423
102	0.2052687761	0.335707859
103	0.2090975926	0.3353310956
104	0.2052687761	0.3350408388
105	0.212859898	0.3344949189
106	0.2273086264	0.3341703257
107	0.2282769621	0.3337056451
108	0.2282769621	0.3333594744
109	0.2282769621	0.3332604446
110	0.2317406035	0.3328243646
111	0.241844553	0.3321429278
112	0.241844553	0.3316826914
113	0.241844553	0.331330109
114	0.2451234544	0.3310693676
115	0.2451234544	0.3301496979
116	0.2451234544	0.3298917404
117	0.2515581284	0.3295365748
118	0.2506694385	0.3290694955
119	0.2538384692	0.3286236977
120	0.2538384692	0.3281925956
121	0.2562726869	0.3277464187
122	0.2593725999	0.3275282754
123	0.2562726869	0.3272547126
124	0.252590755	0.3271067333
