iter	Passed	Remaining
0	4	2342
1	9	2248
2	14	2327
3	18	2295
4	23	2340
5	30	2519
6	37	2632
7	46	2864
8	64	3503
9	69	3402
10	75	3366
11	81	3323
12	86	3253
13	91	3181
14	96	3114
15	102	3114
16	109	3108
17	115	3102
18	121	3080
19	127	3048
20	131	3002
21	137	2981
22	142	2958
23	148	2946
24	153	2914
25	158	2886
26	162	2854
27	167	2824
28	172	2800
29	177	2783
30	185	2810
31	192	2808
32	197	2789
33	202	2778
34	207	2758
35	213	2747
36	220	2753
37	226	2754
38	231	2741
39	239	2755
40	244	2733
41	249	2724
42	255	2711
43	259	2691
44	265	2682
45	270	2669
46	275	2653
47	280	2642
48	285	2625
49	290	2614
50	297	2621
51	303	2615
52	310	2617
53	318	2629
54	323	2616
55	328	2606
56	336	2616
57	341	2600
58	347	2594
59	352	2585
60	357	2569
61	362	2557
62	365	2535
63	370	2524
64	376	2517
65	381	2505
66	385	2492
67	390	2481
68	395	2469
69	401	2464
70	406	2454
71	411	2446
72	418	2448
73	423	2436
74	428	2428
75	433	2419
76	441	2424
77	447	2419
78	453	2417
79	459	2410
80	465	2408
81	471	2402
82	477	2397
83	483	2393
84	489	2390
85	496	2388
86	500	2378
87	506	2371
88	513	2371
89	518	2364
90	524	2356
91	529	2346
92	534	2337
93	538	2325
94	543	2317
95	552	2323
96	559	2326
97	566	2323
98	572	2320
99	578	2312
100	583	2304
101	588	2295
102	592	2285
103	597	2276
104	602	2267
105	607	2257
106	612	2250
107	618	2243
108	622	2233
109	628	2226
110	633	2219
111	641	2223
112	646	2214
113	651	2207
114	656	2198
115	661	2190
116	666	2182
117	671	2172
118	677	2167
119	682	2160
120	686	2150
121	691	2143
122	696	2135
123	702	2129
124	707	2121
125	711	2112
126	716	2103
127	721	2095
128	725	2087
129	730	2079
130	739	2081
131	743	2073
132	748	2065
133	754	2059
134	761	2058
135	767	2053
136	772	2046
137	776	2038
138	783	2034
139	788	2026
140	796	2027
141	801	2019
142	806	2012
143	810	2004
144	816	1997
145	823	1995
146	829	1992
147	836	1988
148	842	1983
149	848	1980
150	853	1972
151	859	1967
152	864	1960
153	868	1952
154	873	1944
155	878	1937
156	883	1929
157	888	1922
158	892	1914
159	897	1907
160	904	1903
161	908	1895
162	914	1891
163	919	1883
164	924	1876
165	930	1871
166	934	1863
167	939	1856
168	944	1849
169	949	1843
170	954	1836
171	961	1834
172	967	1828
173	973	1823
174	978	1816
175	984	1812
176	989	1806
177	994	1799
178	999	1792
179	1004	1785
180	1009	1778
181	1013	1771
182	1019	1766
183	1024	1759
184	1029	1752
185	1034	1746
186	1039	1740
187	1045	1735
188	1051	1730
189	1057	1725
190	1062	1718
191	1068	1713
192	1072	1706
193	1077	1699
194	1082	1693
195	1094	1697
196	1101	1693
197	1108	1690
198	1114	1685
199	1119	1679
200	1124	1672
201	1129	1665
202	1134	1659
203	1141	1655
204	1148	1652
205	1154	1647
206	1159	1641
207	1166	1637
208	1171	1631
209	1177	1625
210	1181	1618
211	1186	1612
212	1192	1607
213	1197	1600
214	1202	1593
215	1207	1587
216	1213	1582
217	1220	1579
218	1225	1572
219	1231	1567
220	1236	1560
221	1240	1553
222	1245	1547
223	1250	1540
224	1255	1534
225	1261	1529
226	1268	1525
227	1275	1521
228	1282	1518
229	1289	1513
230	1294	1507
231	1299	1500
232	1303	1493
233	1308	1487
234	1315	1483
235	1322	1479
236	1328	1474
237	1336	1471
238	1342	1465
239	1349	1462
240	1354	1455
241	1361	1451
242	1367	1446
243	1373	1440
244	1377	1434
245	1383	1428
246	1388	1422
247	1393	1416
248	1398	1410
249	1403	1403
250	1411	1400
251	1417	1395
252	1422	1388
253	1426	1381
254	1432	1376
255	1439	1371
256	1445	1366
257	1451	1361
258	1458	1357
259	1465	1352
260	1472	1347
261	1479	1343
262	1484	1337
263	1490	1332
264	1495	1326
265	1500	1319
266	1505	1314
267	1511	1308
268	1515	1301
269	1520	1295
270	1525	1289
271	1530	1283
272	1537	1278
273	1545	1274
274	1550	1268
275	1559	1265
276	1565	1260
277	1575	1258
278	1580	1252
279	1585	1245
280	1590	1239
281	1596	1233
282	1603	1229
283	1610	1224
284	1615	1219
285	1622	1213
286	1629	1209
287	1634	1202
288	1638	1196
289	1644	1190
290	1648	1184
291	1654	1178
292	1658	1171
293	1663	1165
294	1668	1159
295	1673	1153
296	1679	1147
297	1686	1143
298	1692	1137
299	1700	1133
300	1706	1128
301	1712	1122
302	1717	1116
303	1722	1110
304	1727	1104
305	1732	1098
306	1737	1092
307	1746	1088
308	1755	1084
309	1761	1079
310	1764	1072
311	1770	1066
312	1776	1061
313	1781	1055
314	1786	1049
315	1791	1043
316	1796	1037
317	1802	1031
318	1808	1026
319	1813	1019
320	1818	1013
321	1823	1007
322	1828	1001
323	1832	995
324	1837	989
325	1842	983
326	1846	977
327	1851	971
328	1857	965
329	1862	959
330	1868	953
331	1872	947
332	1877	941
333	1884	936
334	1888	930
335	1893	924
336	1898	918
337	1903	912
338	1908	906
339	1912	900
340	1918	894
341	1923	888
342	1927	882
343	1932	876
344	1938	870
345	1942	864
346	1948	859
347	1953	853
348	1958	847
349	1963	841
350	1967	835
351	1973	829
352	1977	823
353	1983	817
354	1987	811
355	1992	806
356	1997	800
357	2002	794
358	2007	788
359	2016	784
360	2022	778
361	2028	773
362	2035	768
363	2043	763
364	2050	758
365	2054	752
366	2060	746
367	2065	741
368	2070	735
369	2075	729
370	2081	723
371	2090	719
372	2103	716
373	2113	711
374	2120	706
375	2132	703
376	2142	698
377	2159	697
378	2167	691
379	2176	687
380	2188	683
381	2195	678
382	2200	672
383	2205	666
384	2210	660
385	2215	654
386	2221	648
387	2226	642
388	2230	636
389	2236	630
390	2240	624
391	2245	618
392	2250	612
393	2256	606
394	2260	600
395	2266	595
396	2270	589
397	2275	583
398	2280	577
399	2285	571
400	2290	565
401	2294	559
402	2300	553
403	2307	548
404	2319	544
405	2326	538
406	2334	533
407	2339	527
408	2345	521
409	2349	515
410	2353	509
411	2359	503
412	2366	498
413	2373	493
414	2379	487
415	2386	481
416	2392	476
417	2397	470
418	2402	464
419	2406	458
420	2412	452
421	2417	446
422	2422	441
423	2427	435
424	2432	429
425	2437	423
426	2443	417
427	2448	411
428	2453	406
429	2458	400
430	2462	394
431	2468	388
432	2473	382
433	2478	376
434	2484	371
435	2491	365
436	2496	359
437	2501	354
438	2506	348
439	2510	342
440	2516	336
441	2521	330
442	2526	325
443	2532	319
444	2536	313
445	2540	307
446	2545	301
447	2551	296
448	2557	290
449	2562	284
450	2567	278
451	2572	273
452	2578	267
453	2583	261
454	2588	256
455	2593	250
456	2598	244
457	2603	238
458	2608	232
459	2613	227
460	2617	221
461	2624	215
462	2630	210
463	2635	204
464	2641	198
465	2645	193
466	2650	187
467	2655	181
468	2660	175
469	2665	170
470	2671	164
471	2676	158
472	2680	153
473	2685	147
474	2691	141
475	2697	136
476	2710	130
477	2722	125
478	2730	119
479	2737	114
480	2753	108
481	2774	103
482	2781	97
483	2788	92
484	2795	86
485	2803	80
486	2815	75
487	2822	69
488	2828	63
489	2835	57
490	2842	52
491	2849	46
492	2854	40
493	2861	34
494	2868	28
495	2876	23
496	2884	17
497	2892	11
498	2898	5
499	2904	0
