OBS_ID,links_homepage_available
235691,1
235692,1
235693,1
235694,0
235695,0
235696,1
235697,0
235698,0
235699,0
235700,1
235701,1
235702,1
235703,1
235704,1
235705,0
235706,1
235707,1
235708,0
235709,1
235710,0
235711,0
235712,1
235713,1
235714,0
235715,0
235716,1
235717,0
235718,1
235719,1
235720,0
235721,1
235722,1
235723,0
235724,1
235725,1
235726,0
235727,0
235728,1
235729,1
235730,0
235731,1
235732,1
235733,0
235734,0
235735,1
235736,1
235737,0
235738,1
235739,1
235740,0
235741,0
235742,1
235743,1
235744,1
235745,0
235746,0
235747,0
235748,1
235749,1
235750,1
235751,1
235752,1
235753,1
235754,0
235755,1
235756,0
235757,0
235758,0
235759,0
235760,1
235761,1
235762,1
235763,1
235764,0
235765,1
235766,0
235767,1
235768,0
235769,1
235770,0
235771,0
235772,1
235773,0
235774,0
235775,1
235776,0
235777,1
235778,0
235779,1
235780,1
235781,1
235782,0
235783,1
235784,0
235785,0
235786,1
235787,1
235788,1
235789,0
235790,1
235791,1
235792,0
235793,0
235794,0
235795,0
235796,1
235797,0
235798,0
235799,1
235800,1
235801,1
235802,1
235803,1
235804,0
235805,1
235806,0
235807,1
235808,1
235809,1
235810,0
235811,0
235812,1
235813,1
235814,1
235815,0
235816,0
235817,1
235818,1
235819,1
235820,1
235821,0
235822,0
235823,1
235824,0
235825,1
235826,1
235827,1
235828,1
235829,1
235830,0
235831,1
235832,0
235833,1
235834,1
235835,0
235836,1
235837,1
235838,1
235839,1
235840,0
235841,1
235842,1
235843,0
235844,1
235845,1
235846,1
235847,1
235848,1
235849,0
235850,1
235851,0
235852,0
235853,1
235854,0
235855,1
235856,0
235857,1
235858,1
235859,1
235860,0
235861,1
235862,1
235863,0
235864,1
235865,0
235866,1
235867,1
235868,1
235869,0
235870,1
235871,1
235872,0
235873,0
235874,1
235875,0
235876,0
235877,0
235878,0
235879,1
235880,0
235881,1
235882,1
235883,1
235884,0
235885,0
235886,1
235887,0
235888,0
235889,0
235890,0
235891,1
235892,0
235893,1
235894,1
235895,0
235896,0
235897,1
235898,0
235899,0
235900,0
235901,1
235902,1
235903,1
235904,0
235905,1
235906,1
235907,0
235908,1
235909,1
235910,0
235911,0
235912,1
235913,0
235914,1
235915,1
235916,0
235917,1
235918,1
235919,1
235920,1
235921,1
235922,0
235923,0
235924,1
235925,0
235926,0
235927,0
235928,1
235929,0
235930,1
235931,1
235932,1
235933,1
235934,1
235935,1
235936,1
235937,0
235938,1
235939,1
235940,0
235941,1
235942,1
235943,1
235944,0
235945,1
235946,0
235947,1
235948,1
235949,1
235950,1
235951,1
235952,1
235953,1
235954,1
235955,1
235956,1
235957,1
235958,0
235959,1
235960,0
235961,0
235962,0
235963,0
235964,1
235965,1
235966,0
235967,1
235968,1
235969,1
235970,1
235971,1
235972,0
235973,0
235974,1
235975,0
235976,1
235977,1
235978,1
235979,0
235980,1
235981,1
235982,1
235983,0
235984,0
235985,1
235986,1
235987,1
235988,1
235989,0
235990,0
235991,1
235992,1
235993,1
235994,0
235995,1
235996,1
235997,1
235998,1
235999,1
236000,1
236001,1
236002,0
236003,0
236004,0
236005,1
236006,0
236007,0
236008,1
236009,1
236010,1
236011,0
236012,0
236013,1
236014,0
236015,0
236016,0
236017,1
236018,1
236019,1
236020,1
236021,1
236022,0
236023,0
236024,0
236025,0
236026,0
236027,0
236028,0
236029,1
236030,1
236031,1
236032,1
236033,1
236034,1
236035,1
236036,0
236037,0
236038,1
236039,1
236040,0
236041,0
236042,0
236043,0
236044,1
236045,1
236046,0
236047,1
236048,1
236049,1
236050,1
236051,0
236052,0
236053,1
236054,0
236055,0
236056,1
236057,1
236058,0
236059,1
236060,1
236061,1
236062,0
236063,1
236064,1
236065,0
236066,1
236067,0
236068,1
236069,1
236070,0
236071,1
236072,1
236073,1
236074,1
236075,1
236076,1
236077,1
236078,1
236079,0
236080,1
236081,1
236082,1
236083,0
236084,1
236085,0
236086,0
236087,0
236088,1
236089,0
236090,0
236091,1
236092,1
236093,0
236094,0
236095,0
236096,1
236097,0
236098,0
236099,1
236100,1
236101,1
236102,0
236103,0
236104,1
236105,1
236106,1
236107,0
236108,0
236109,1
236110,1
236111,0
236112,1
236113,1
236114,0
236115,0
236116,0
236117,0
236118,0
236119,1
236120,1
236121,1
236122,0
236123,0
236124,0
236125,1
236126,0
236127,1
236128,0
236129,0
236130,1
236131,0
236132,0
236133,1
236134,0
236135,1
236136,1
236137,0
236138,1
236139,1
236140,1
236141,0
236142,0
236143,1
236144,0
236145,1
236146,0
236147,1
236148,0
236149,0
236150,0
236151,1
236152,0
236153,0
236154,0
236155,1
236156,1
236157,1
236158,1
236159,0
236160,1
236161,0
236162,1
236163,1
236164,1
236165,0
236166,0
236167,0
236168,0
236169,0
236170,0
236171,0
236172,1
236173,1
236174,0
236175,1
236176,1
236177,0
236178,0
236179,1
236180,0
236181,0
236182,1
236183,0
236184,1
236185,1
236186,0
236187,0
236188,1
236189,1
236190,1
236191,0
236192,1
236193,1
236194,1
236195,1
236196,0
236197,1
236198,0
236199,1
236200,1
236201,1
236202,1
236203,0
236204,0
236205,0
236206,0
236207,0
236208,0
236209,0
236210,0
236211,1
236212,0
236213,1
236214,0
236215,0
236216,0
236217,1
236218,0
236219,0
236220,1
236221,1
236222,1
236223,0
236224,0
236225,1
236226,0
236227,0
236228,0
236229,0
236230,0
236231,1
236232,0
236233,0
236234,1
236235,1
236236,0
236237,1
236238,1
236239,0
236240,0
236241,1
236242,1
236243,0
236244,0
236245,0
236246,0
236247,1
236248,0
236249,0
236250,1
236251,1
236252,0
236253,1
236254,0
236255,0
236256,0
236257,1
236258,1
236259,0
236260,1
236261,1
236262,0
236263,1
236264,1
236265,0
236266,0
236267,0
236268,1
236269,0
236270,0
236271,0
236272,1
236273,0
236274,1
236275,1
