labels_categories_0,transaction_count,holder_count,labels_country_origin
23,0,0,79
29,975773.0,109840.0,111
29,22730.0,13914.0,102
26,125.0,51.0,79
26,16417.0,6250.0,79
26,14377.0,4396.0,79
8,47601.0,3804.0,40
5,507.0,186.0,38
8,1574.0,135.0,101
26,36173.0,29127.0,79
26,0,0,39
26,0,0,79
34,0,0,111
26,0,0,79
18,20519.0,18554.0,44
26,0,0,79
26,0,0,79
26,0,0,111
8,996.0,93.0,107
26,8605.0,7154.0,79
15,0,0,111
26,4246.0,1500.0,79
0,57601.0,41341.0,44
32,10194.0,4623.0,80
26,0,0,79
26,4550.0,693.0,79
26,0,0,79
15,0,0,97
26,0,0,79
24,0,0,83
8,0,0,120
26,0,0,79
13,6583.0,243.0,79
26,8.0,6.0,79
9,1721.0,1103.0,9
26,1210.0,149.0,79
26,14113.0,2433.0,79
26,0,0,79
24,0,0,39
9,4414.0,943.0,118
26,0,0,79
10,2222.0,1117.0,111
14,0,0,1
26,0,0,79
26,24245.0,8983.0,79
26,0,0,79
26,4249.0,3520.0,79
12,0,0,79
26,0,0,79
26,0,0,79
23,0,0,111
30,0,0,101
18,0,0,97
27,0,0,79
38,0,0,22
34,0,0,39
26,54889.0,8966.0,79
7,0,0,48
5,27637.0,4454.0,22
26,1852.0,220.0,79
8,6208.0,2643.0,78
26,858.0,306.0,50
8,0,0,79
37,0,0,18
24,149610.0,13025.0,97
26,164.0,118.0,79
5,0,0,111
26,17446.0,12605.0,101
8,0,0,79
26,0,0,79
8,0,0,79
38,0,0,47
5,5696.0,928.0,71
4,13940.0,1517.0,79
23,0,0,79
23,0,0,79
8,0,0,22
5,1596.0,697.0,51
26,0,0,79
23,0,0,79
18,355505.0,50651.0,79
16,19621.0,9161.0,44
32,51804.0,4163.0,61
8,0,0,18
26,89585.0,23383.0,21
5,52659.0,32556.0,99
31,877.0,121.0,111
18,306192.0,21312.0,65
8,0,0,66
8,0,0,39
26,2749.0,437.0,79
26,0,0,79
26,0,0,79
14,8101.0,901.0,22
26,1967.0,1058.0,77
30,41241.0,37994.0,34
26,0,0,79
23,0,0,79
26,0,0,79
26,0,0,79
32,0,0,79
6,0,0,39
21,40192.0,9265.0,34
26,4488.0,453.0,79
26,0,0,79
26,138197.0,102867.0,79
26,502.0,25.0,79
26,0,0,79
4,363.0,58.0,44
22,0,0,28
14,0,0,39
26,11619.0,3175.0,79
26,151566.0,102877.0,79
26,5013.0,1547.0,101
0,16234.0,10896.0,101
8,50902.0,26933.0,23
14,0,0,120
4,38862.0,3368.0,101
26,55392.0,13792.0,79
8,163594.0,12567.0,79
26,0,0,79
26,13460.0,622.0,79
26,3281.0,1336.0,79
26,0,0,79
8,0.0,0.0,47
26,2092.0,337.0,79
26,0,0,79
8,1.0,1.0,44
27,19921.0,15611.0,39
29,96494.0,10773.0,111
7,20458.0,3892.0,111
26,39734.0,8595.0,79
8,0.0,0.0,47
26,2525.0,2072.0,34
23,0,0,79
26,0,0,79
4,2717.0,1459.0,41
26,0,0,79
26,17717.0,4068.0,79
26,6012.0,3781.0,79
26,83666.0,33943.0,63
26,10474.0,4241.0,61
8,0,0,25
26,10.0,4.0,79
26,0,0,79
8,0,0,79
26,1.0,2.0,79
26,0,0,1
26,0,0,79
8,0,0,79
24,24769.0,2023.0,56
26,47.0,18.0,79
13,206.0,63.0,79
14,23742.0,12111.0,79
26,3047.0,287.0,79
26,0,0,79
26,0,0,79
7,0.0,0.0,99
26,0,0,79
26,349.0,117.0,79
8,0,0,79
26,2354.0,1375.0,112
26,71148.0,23467.0,79
26,794.0,554.0,79
26,19186.0,18297.0,79
20,321.0,39.0,79
26,10831.0,893.0,79
26,0,0,79
26,75.0,10.0,79
26,10520.0,5986.0,79
16,10393.0,3702.0,101
4,0,0,108
12,226.0,67.0,101
8,0,0,94
26,0,0,79
30,9577.0,7266.0,115
33,0,0,44
13,0,0,39
13,16959.0,8997.0,39
5,981.0,303.0,79
8,67.0,10.0,79
26,3600.0,2226.0,79
8,0,0,93
26,0,0,79
14,6426.0,1418.0,23
26,4846.0,2102.0,101
26,0,0,79
23,0,0,79
26,42319.0,2446.0,34
4,0,0,61
26,0,0,79
26,1631.0,938.0,79
26,9331.0,1607.0,111
26,0,0,79
26,2355.0,368.0,79
8,0,0,114
14,44134.0,42191.0,97
26,145439.0,56351.0,79
26,26004.0,17129.0,79
26,0,0,79
37,64099.0,4602.0,111
23,0,0,79
8,0,0,111
28,0,0,79
26,10254.0,728.0,79
33,0,0,77
15,0,0,44
23,0,0,79
5,0,0,25
9,0,0,79
26,31733.0,8861.0,79
3,0,0,44
13,36890.0,750.0,79
26,93820.0,68178.0,79
26,65221.0,9558.0,101
26,0,0,79
23,0,0,79
26,0,0,79
32,0,0,79
26,0,0,79
8,0,0,111
33,179731.0,21334.0,36
26,0,0,61
14,93335.0,77783.0,39
26,2766.0,71.0,79
26,11399.0,2243.0,79
26,0,0,79
26,9912.0,1517.0,79
26,51880.0,2019.0,101
26,3074.0,188.0,79
26,0,0,79
8,15592.0,6052.0,87
26,0,0,79
14,2607.0,1960.0,73
18,0,0,23
15,1091.0,350.0,111
26,0,0,79
26,1.0,2.0,79
26,0,0,79
8,0,0,79
23,0,0,79
26,0,0,79
23,0,0,79
26,0,0,79
8,0,0,79
4,648.0,585.0,97
8,0,0,79
8,0,0,79
26,0,0,79
9,1909.0,648.0,80
26,26060.0,4068.0,79
26,128749.0,91808.0,79
8,0,0,79
39,20383.0,16830.0,21
26,0,0,79
26,10095.0,6709.0,79
26,0,0,79
26,36550.0,21604.0,79
26,13030.0,4173.0,79
26,412.0,39.0,79
26,0,0,79
26,0,0,79
32,0,0,79
27,4272.0,655.0,1
26,1074.0,186.0,79
26,0,0,79
31,2856.0,1293.0,44
26,304.0,102.0,79
26,34071.0,1724.0,79
8,16365.0,2312.0,79
12,0.0,0.0,79
9,44.0,4.0,107
5,1229.0,2043.0,63
10,0,0,111
26,92.0,27.0,79
5,19320.0,15609.0,101
1,41796.0,6887.0,97
26,886.0,202.0,79
38,9938.0,7109.0,44
24,0,0,101
26,0,0,79
26,64769.0,28897.0,79
26,0,0,79
7,0,0,22
26,24788.0,17211.0,79
26,91189.0,45125.0,79
29,42650.0,9253.0,111
26,84.0,17.0,79
26,1013.0,288.0,79
8,0,0,80
31,0,0,22
26,25.0,6.0,79
29,6.0,3.0,23
29,185956.0,14522.0,111
26,0,0,79
26,124623.0,101053.0,79
26,0,0,79
9,27026.0,11805.0,84
26,246526.0,11323.0,101
14,0,0,79
26,65268.0,8481.0,79
8,0,0,79
26,3581.0,1665.0,101
24,32922.0,9925.0,111
26,15865.0,3342.0,79
26,0,0,81
12,34738.0,3662.0,39
26,0,0,79
4,0,0,39
26,0,0,79
4,2644.0,1536.0,34
8,0,0,3
26,4155.0,949.0,79
5,84948.0,66889.0,111
23,0,0,79
