ico_data_amount_for_sale,labels_ico_data_country_origin,ico_data_hardcap_amount,labels_ico_data_hardcap_currency,ico_data_kyc_required,ico_data_pre_sale_available,ico_data_softcap_amount,labels_ico_data_softcap_currency,ico_data_total_raised,labels_ico_data_total_raised_currency
0,59,0,23,0,0,0,15,0,7
0,82,0,23,1,0,0,15,24000000.0,10
250000000.0,76,20000.0,14,1,1,5000.0,8,9450000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,33,12000000.0,35,1,0,10000.0,8,1453740.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
4000000.0,82,0,23,1,1,0,15,0,7
0,59,0,23,0,0,0,15,0,7
2500000000.0,33,80000000.0,35,1,1,1000000000.0,1,25760000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
197000000.0,88,50000.0,14,1,1,30000.0,8,0,7
0,59,0,23,0,0,0,15,0,7
0,82,50000000.0,35,1,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
175000.0,82,0,23,1,1,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
73500000.0,35,8000000.0,35,1,0,0,15,0,7
560000000.0,15,10000.0,14,1,0,0,15,15000000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,37,0,23,1,0,0,15,1672391.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
46800000.0,71,40000.0,14,1,0,0,15,10000000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
450000000.0,75,11000000.0,35,1,0,0,15,7100000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
10000000.0,53,12129522.0,35,1,0,1000000.0,25,12129522.0,10
0,59,0,23,1,0,0,15,10000000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
600000000.0,33,60000000.0,35,1,1,15000000.0,25,0,7
150000000.0,45,30000000.0,35,1,0,0,15,30000000.0,10
0,59,0,23,0,0,0,15,0,7
60000000.0,14,0,23,1,0,0,15,5688853.0,10
200000000.0,73,6000000.0,35,1,1,3000000.0,25,4120000.0,10
0,59,0,23,0,0,0,15,0,7
0,48,0,23,1,0,0,15,24426689.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
24500000000.0,57,255000000.0,35,1,1,200000.0,25,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,20000000.0,35,1,0,1250000.0,25,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,25,10000.0,2,1,0,0,15,35000000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,1,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,33,20000000.0,35,1,0,1000000.0,25,0,7
0,21,40000.0,14,1,0,1600.0,8,581050.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,75,0,23,1,0,0,15,3000000.0,10
5000000000.0,75,50000.0,14,1,0,10000.0,8,1412340.0,10
100000000.0,16,14333.0,35,1,0,0,15,15854305.0,10
0,59,0,23,0,0,0,15,0,7
2000000000.0,75,100000000.0,35,1,1,3000000.0,25,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,1,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
3800000000.0,34,212000.0,24,1,1,30000.0,16,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
200000000.0,30,20000000.0,35,1,1,2700000.0,25,4270995.9,10
0,59,0,23,0,0,0,15,0,7
1050000000.0,82,21000000.0,35,1,0,15000000.0,25,15000000.0,10
0,59,0,23,0,0,0,15,0,7
1000012.0,34,1307500.0,35,1,1,200000.0,25,0,8
22500000.0,25,25000.0,14,1,0,1250.0,8,900000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
320000000.0,32,2400000.0,35,1,1,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
300000000.0,46,30000.0,14,1,0,0,15,6311.0,3
0,59,0,23,0,0,0,15,0,7
200000000.0,18,0,23,1,0,0,15,30000000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,1,0,0,15,60402219.75,10
0,59,0,23,0,0,0,15,0,7
0,1,1000000000.0,35,1,0,500000000.0,25,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
250000000.0,41,125000.0,14,1,0,11666.0,8,3895710.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,73,100000000.0,0,1,0,25000000.0,0,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
6000000000.0,83,6000000.0,35,1,1,800000.0,25,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,75,37500.0,14,1,0,5000.0,8,0,7
200000000.0,79,0,23,1,1,0,15,5500000.0,10
150000000.0,75,0,23,1,1,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
3000000000.0,86,30000000.0,35,1,0,1000000.0,25,1000000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
24999999.0,30,20000.0,14,1,0,500.0,8,5830000.0,10
1000000000.0,59,19000000.0,35,1,0,5000000.0,25,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,75,0,23,1,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
500000000.0,25,25000000.0,35,1,1,3000000.0,25,1332600.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,82,4900000.0,35,1,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,82,18700000.0,35,1,0,0,15,18700000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,18,25000000.0,35,1,0,0,15,25000000.0,10
70000000.0,59,6700000.0,35,1,1,0,15,7000000.0,10
0,59,0,23,0,0,0,15,0,7
2500000000.0,33,0,23,1,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
450000000.0,75,15300000.0,35,1,0,0,15,15300000.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,1500.0,2,1,0,0,15,2749185.0,10
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,59,0,23,0,0,0,15,0,7
0,27,0,23,1,0,0,15,25000000.0,10
0,59,0,23,0,0,0,15,0,7
