date_in_ms,price,time,calendar_week
1546300800000,36.925.315.655.246.900,2019-01-01 01:00:00.000,1
1546387200000,37.942.642.537.397.100,2019-01-02 01:00:00.000,1
1546473600000,38.721.721.842.228.900,2019-01-03 01:00:00.000,1
1546560000000,3.776.525.807.694.100,2019-01-04 01:00:00.000,1
1546646400000,3.815.268.079.882.630,2019-01-05 01:00:00.000,1
1546732800000,37.873.078.571.242.800,2019-01-06 01:00:00.000,1
1546819200000,40.135.200.912.973.800,2019-01-07 01:00:00.000,2
1546905600000,39.896.687.175.387.600,2019-01-08 01:00:00.000,2
1546992000000,39.735.912.546.157.800,2019-01-09 01:00:00.000,2
1547078400000,39.822.259.127.624.000,2019-01-10 01:00:00.000,2
1547164800000,36.238.477.291.056.700,2019-01-11 01:00:00.000,2
1547251200000,3.632.849.306.434.780,2019-01-12 01:00:00.000,2
1547337600000,35.984.363.465.618.800,2019-01-13 01:00:00.000,2
1547424000000,3.495.832.311.307.430,2019-01-14 01:00:00.000,3
1547510400000,364.804.828.565.649,2019-01-15 01:00:00.000,3
1547596800000,3.567.801.243.199.200,2019-01-16 01:00:00.000,3
1547683200000,35.976.473.233.295.900,2019-01-17 01:00:00.000,3
1547769600000,36.209.812.811.457.200,2019-01-18 01:00:00.000,3
1547856000000,35.977.932.517.701.500,2019-01-19 01:00:00.000,3
1547942400000,3.674.587.270.857.300,2019-01-20 01:00:00.000,3
1548028800000,3.539.167.531.041.020,2019-01-21 01:00:00.000,4
1548115200000,3.531.004.182.799.930,2019-01-22 01:00:00.000,4
1548201600000,35.712.669.080.928.600,2019-01-23 01:00:00.000,4
1548288000000,35.557.000.025.226.200,2019-01-24 01:00:00.000,4
1548374400000,35.656.420.046.170.300,2019-01-25 01:00:00.000,4
1548460800000,3.564.822.417.111.420,2019-01-26 01:00:00.000,4
1548547200000,3.563.614.563.419.140,2019-01-27 01:00:00.000,4
1548633600000,3.553.121.681.129.770,2019-01-28 01:00:00.000,5
1548720000000,3.432.215.668.301.240,2019-01-29 01:00:00.000,5
1548806400000,34.133.754.832.497.900,2019-01-30 01:00:00.000,5
1548892800000,34.578.826.491.759.800,2019-01-31 01:00:00.000,5
1548979200000,3.431.943.637.864.450,2019-02-01 01:00:00.000,5
1549065600000,3.464.490.147.562.150,2019-02-02 01:00:00.000,5
1549152000000,3.486.581.616.258.020,2019-02-03 01:00:00.000,5
