Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD,calendar_week
2019-12-15,ETHUSD,141.85,141.85,141.85,141.85,0.0,0.0,50
2019-12-14,ETHUSD,144.7,145.0,141.18,141.85,2302.41,329630.56,50
2019-12-13,ETHUSD,144.77,145.04,142.86,144.7,4756.42,685303.3,50
2019-12-12,ETHUSD,143.17,145.47,139.02,144.77,10856.41,1548894.02,50
2019-12-11,ETHUSD,145.69,146.3,142.02,143.17,3412.98,489371.27,50
2019-12-10,ETHUSD,147.36,148.16,144.0,145.69,3618.29,529033.96,50
2019-12-09,ETHUSD,150.66,151.45,146.75,147.36,4802.37,717008.54,50
2019-12-08,ETHUSD,147.29,151.99,146.4,150.66,3394.14,508222.2,49
2019-12-07,ETHUSD,148.83,149.82,147.0,147.29,1413.74,209217.88,49
2019-12-06,ETHUSD,147.85,149.85,145.9,148.83,5989.8,884316.75,49
2019-12-05,ETHUSD,145.49,148.87,143.78,147.85,7803.54,1142707.1,49
2019-12-04,ETHUSD,147.52,152.36,143.46,145.49,15381.08,2266750.56,49
2019-12-03,ETHUSD,149.0,149.95,145.92,147.52,5054.93,748179.44,49
2019-12-02,ETHUSD,151.59,151.68,146.9,149.0,5055.52,751937.21,49
2019-12-01,ETHUSD,151.8,152.28,146.16,151.59,6353.82,943172.41,48
2019-11-30,ETHUSD,154.44,155.51,150.0,151.8,3872.94,591577.9,48
2019-11-29,ETHUSD,151.06,157.64,150.96,154.44,7020.08,1081831.58,48
2019-11-28,ETHUSD,152.91,154.79,149.52,151.06,5098.31,774256.44,48
2019-11-27,ETHUSD,147.67,155.77,141.0,152.91,21680.21,3183984.82,48
2019-11-26,ETHUSD,146.09,149.99,143.77,147.67,9324.78,1363642.04,48
2019-11-25,ETHUSD,140.23,151.69,132.03,146.09,31920.12,4555565.57,48
2019-11-24,ETHUSD,152.29,152.82,138.96,140.23,12170.7,1792166.23,47
