date_in_ms;price
1367107200000;135.3
1367193600000;141.96
1367280000000;135.3
1367366400000;117.0
1367452800000;103.43
1367539200000;91.01
1367625600000;111.25
1367712000000;116.79
1367798400000;118.33
1367884800000;106.4
1367971200000;112.64
1368057600000;113.0
1368144000000;118.78
1368230400000;113.01
1368316800000;114.713
1368403200000;117.18
1368489600000;114.5
1368576000000;114.156
1368662400000;115.5
1368748800000;123.1
1368835200000;123.88
1368921600000;120.501
1369008000000;122.58
1369094400000;122.9
1369180800000;123.0
1369267200000;125.748
1369353600000;131.7
1369440000000;130.77
1369526400000;134.6
1369612800000;128.985
1369699200000;129.179
1369785600000;132.13
1369872000000;127.401
1369958400000;127.98
1370044800000;129.09
1370131200000;121.3
1370217600000;121.16
1370390400000;121.309
1370476800000;121.714
1370563200000;119.0
1370649600000;110.09
1370736000000;108.401
1370822400000;997.497
1370908800000;105.99
1370995200000;108.9
1371081600000;108.4
1371168000000;102.769
1371254400000;98.399
1371340800000;99.99
1371427200000;100.42
1371513600000;102.0
1371600000000;106.55
1371686400000;107.9
1371772800000;110.91
1371859200000;109.015
1371945600000;107.25
1372032000000;108.0
1372118400000;102.443
1372204800000;103.691
1372291200000;103.39
1372377600000;99.66
1372464000000;933.311
1372550400000;953.886
1372636800000;97.504
1372723200000;89.489
1372809600000;90.797
1372896000000;78.8
1372982400000;78.48
1373068800000;67.809
1373155200000;680.831
1373241600000;77.502
1373328000000;763.915
1373414400000;77.0
1373500800000;85.75
1373587200000;93.804
1373673600000;880.622
1373760000000;95.58
1373846400000;94.0
1373932800000;97.301
1374019200000;989.796
1374105600000;97.8
1374192000000;887.869
1374278400000;91.572
1374364800000;89.28
1374451200000;903.672
1374537600000;917.024
1374624000000;945.806
1374710400000;94.525
1374796800000;969.499
1374883200000;94.13
1374969600000;94.005
1375056000000;985.759
1375142400000;101.5
1375228800000;110.34
1375315200000;106.23
1375401600000;101.61
1375488000000;103.7
1375574400000;104.86
1375660800000;106.56
1375747200000;105.841
1375833600000;106.75
1375920000000;101.672
1376006400000;103.4
1376092800000;102.71
1376179200000;103.77
1376265600000;105.18
1376352000000;106.068
1376438400000;111.621
1376524800000;111.87
1376611200000;109.867
1376697600000;112.74
1376784000000;114.4
1376870400000;118.782
1376956800000;120.5
1377043200000;121.51
1377129600000;122.499
1377216000000;120.0
1377302400000;120.44
1377388800000;122.0
1377475200000;122.04
1377561600000;125.67
1377648000000;123.02
1377734400000;123.44
1377820800000;129.2
1377907200000;137.76
1377993600000;138.17
1378080000000;137.17
1378166400000;137.51
1378252800000;135.21
1378339200000;129.96
1378425600000;126.13
1378512000000;123.73
1378598400000;121.77
1378684800000;126.4
1378771200000;127.78
1378857600000;131.65
1378944000000;134.22
1379030400000;135.05
1379116800000;131.39
1379203200000;129.95
1379289600000;131.48
1379376000000;131.31
1379462400000;132.06
1379548800000;130.23
1379635200000;128.57
1379721600000;126.78
1379808000000;128.37
1379894400000;126.73
1379980800000;126.09
1380067200000;127.99
1380153600000;128.02
1380240000000;131.84
1380326400000;133.93
1380412800000;140.28
1380499200000;131.65
1380585600000;132.55
1380672000000;132.04
1380758400000;123.07
1380844800000;128.26
1380931200000;129.57
1381017600000;127.56
1381104000000;128.38
1381190400000;125.72
1381276800000;130.9
1381363200000;129.68
1381449600000;130.27
1381536000000;135.35
1381622400000;135.48
1381708800000;140.48
1381795200000;143.89
1381881600000;143.61
1381968000000;146.15
1382054400000;151.34
1382140800000;170.51
1382227200000;172.01
1382313600000;181.41
1382400000000;193.45
1382486400000;206.78
1382572800000;198.8
1382659200000;172.48
1382745600000;178.96
1382832000000;189.83
1382918400000;198.55
1383004800000;204.39
1383091200000;204.2
1383177600000;203.88
1383264000000;205.26
1383350400000;206.89
1383436800000;212.45
1383523200000;226.28
1383609600000;230.63
1383696000000;260.85
1383782400000;295.63
1383868800000;332.02
1383955200000;358.0
1384041600000;313.0
1384128000000;340.55
1384214400000;355.48
1384300800000;404.17
1384387200000;408.84
1384473600000;424.16
1384560000000;437.41
1384646400000;488.36
1384732800000;580.87
1384819200000;614.4
1384905600000;565.34
1384992000000;675.06
1385078400000;731.15
1385164800000;819.31
1385251200000;764.43
1385337600000;793.07
1385424000000;832.93
1385510400000;914.13
1385596800000;979.08
1385683200000;1101.83
1385769600000;1127.45
1385856000000;1033.39
1385942400000;974.03
1386028800000;1078.64
1386115200000;1121.48
1386201600000;989.04
1386288000000;1019.66
1386374400000;811.98
1386460800000;743.11
1386547200000;897.89
1386633600000;927.78
1386720000000;887.08
1386806400000;878.17
1386892800000;897.27
1386979200000;866.99
1387065600000;854.62
1387152000000;789.15
1387238400000;691.65
1387324800000;559.36
1387411200000;677.84
1387497600000;694.25
1387584000000;596.12
1387670400000;650.27
1387756800000;645.75
1387843200000;659.94
1387929600000;668.74
1388016000000;734.59
1388102400000;734.27
1388188800000;738.81
1388275200000;726.47
1388361600000;760.52
1388448000000;755.16
1388534400000;767.74
1388620800000;772.53
1388707200000;825.47
1388793600000;849.14
1388880000000;919.41
1388966400000;936.38
1389052800000;826.5
1389139200000;838.32
1389225600000;853.29
1389312000000;863.3
1389398400000;905.72
1389484800000;867.45
1389571200000;840.96
1389657600000;838.05
1389744000000;860.44
1389830400000;837.98
1389916800000;812.9
1390003200000;840.0
1390089600000;838.17
1390176000000;869.15
1390262400000;869.57
1390348800000;865.03
1390435200000;846.97
1390521600000;808.32
1390608000000;804.39
1390694400000;853.51
1390780800000;891.86
1390867200000;777.0
1390953600000;816.85
1391040000000;817.17
1391126400000;817.93
1391212800000;832.52
1391299200000;836.41
1391385600000;813.38
1391472000000;832.36
1391558400000;830.92
1391644800000;805.08
1391731200000;721.32
1391817600000;701.61
1391904000000;672.07
1391990400000;689.65
1392076800000;697.76
1392163200000;655.26
1392249600000;651.91
1392336000000;623.57
1392422400000;644.1
1392508800000;613.85
1392595200000;645.14
1392681600000;625.01
1392768000000;620.99
1392854400000;593.89
1392940800000;582.75
1393027200000;571.06
1393113600000;622.97
1393200000000;572.39
1393286400000;489.31
1393372800000;567.25
1393459200000;586.28
1393545600000;567.2
1393632000000;560.11
1393718400000;561.35
1393804800000;585.79
1393891200000;675.0
1393977600000;658.24
1394064000000;654.55
1394150400000;617.62
1394236800000;610.37
1394323200000;636.17
1394409600000;621.17
1394496000000;624.23
1394582400000;638.07
1394668800000;639.03
1394755200000;629.67
1394841600000;638.07
1394928000000;629.55
1395014400000;623.705
1395100800000;612.622
1395187200000;610.636
1395273600000;592.07
1395360000000;582.303
1395446400000;561.22
1395532800000;567.779
1395619200000;571.418
1395705600000;582.55
1395792000000;584.442
1395878400000;567.64
1395964800000;503.661
1396051200000;502.302
1396137600000;469.938
1396224000000;457.399
1396310400000;4.787.163
1396396800000;437.515
1396483200000;4.470.822
1396569600000;4.488.792
1396656000000;4.648.259
1396742400000;4.607.028
1396828800000;457.792
1396915200000;4.504.638
1397001600000;4.401.983
1397088000000;3.608.407
1397174400000;4.200.563
1397260800000;420.66
1397347200000;4.149.495
1397433600000;4.576.338
1397520000000;5.201.233
1397606400000;5.291.625
1397692800000;494.4
1397779200000;4.782.312
1397865600000;5.015.515
1397952000000;4.973.177
1398038400000;4.926.733
1398124800000;4.848.533
1398211200000;487.525
1398297600000;4.942.733
1398384000000;4.588.067
1398470400000;453.8
1398556800000;4.379.216
1398643200000;436.92
1398729600000;443.27
1398816000000;4.449.968
1398902400000;4.550.913
1398988800000;4.434.734
1399075200000;4.340.333
1399161600000;4.339.432
1399248000000;4.290.761
1399334400000;4.267.634
1399420800000;439.3
1399507200000;4.373.633
1399593600000;4.474.933
1399680000000;452.505
1399766400000;4.362.833
1399852800000;439.19
1399939200000;437.305
1400025600000;4.442.467
1400112000000;444.25
1400198400000;445.165
1400284800000;4.458.533
1400371200000;4.442.133
1400457600000;443.87
1400544000000;4.834.167
1400630400000;4.887.717
1400716800000;5.226.083
1400803200000;524.475
1400889600000;5.231.083
1400976000000;5.693.767
1401062400000;5.796.217
1401148800000;569.475
1401235200000;5.715.533
1401321600000;565.26
1401408000000;6.211.467
1401494400000;620.5
1401580800000;6.401.617
1401667200000;656.41
1401753600000;6.673.683
1401840000000;6.411.833
1401926400000;658.1
1402012800000;648.63
1402099200000;6.517.083
1402185600000;6.498.983
1402272000000;643.905
1402358400000;6.490.567
1402444800000;6.300.367
1402531200000;567.175
1402617600000;5.946.833
1402704000000;5.700.033
1402790400000;583.41
1402876800000;592.52
1402963200000;6.071.583
1403049600000;604.19
1403136000000;5.933.883.000.000.000
1403222400000;590.055
1403308800000;5.912.567
1403395200000;5.950.367
1403481600000;5.861.482.999.999.990
1403568000000;5.824.149.999.999.990
1403654400000;5.614.716.999.999.990
1403740800000;5.795.867
1403827200000;5.982.367
1403913600000;5.948.717.000.000.000
1404000000000;5.984.883
1404086400000;6.377.549.999.999.990
1404172800000;6.439.350.000.000.000
1404259200000;6.481.075.000.000.000
1404345600000;6.402.838.000.000.000
1404432000000;6.271.288
1404518400000;6.275.812.999.999.990
1404604800000;6.310.025
1404691200000;6.194.950.000.000.000
1404777600000;6.200.474.999.999.990
1404864000000;620.16
1404950400000;6.151.275.000.000.000
